Name,RA_deg,Dec_deg,Magnitude
Menkent,211.670617,-36.369958,2.06
Menkib,59.741253,35.791032,3.98
Merak,165.460319,56.382426,2.34
Meridiana,287.368087,-37.904473,4.11
Merope,56.581552,23.948348,4.14
Miaplacidus,138.299906,-69.717208,1.67
Mimosa,191.930263,-59.688764,1.25
Minchir,129.689323,3.341436,4.45
Minelauva,193.900869,3.39747,3.39
Mintaka,83.001667,-0.299095,2.25
Mirach,17.433013,35.620557,2.07
Miram,42.674207,55.895497,3.77
Mirfak,51.080709,49.861179,1.79
Mirzam,95.674939,-17.955919,1.98
Misam,47.374048,44.857541,3.79
Mizar,200.981429,54.925362,2.23
Mothallah,28.27045,29.578826,3.42
Muliphein,105.939554,-15.633286,4.11
Muphrid,208.671161,18.397717,2.68
Muscida,127.566128,60.71817,3.35
Naos,120.896031,-40.003148,2.21
Nashira,325.022735,-16.662308,3.69
Nekkar,225.48651,40.390567,3.49
Nembus,24.498154,48.628214,3.59
Nihal,82.061346,-20.759441,2.83
Nunki,283.81636,-26.296724,2.05
Nusakan,231.957211,29.105699,3.9
Okab,286.352533,13.863477,2.99
Peacock,306.411904,-56.73509,1.94
Phact,84.912254,-34.07411,2.65
Phecda,178.457679,53.694758,2.41
Pherkad,230.18215,71.834017,3.0
Pipirima,253.083939,-38.017535,3.56
Polaris,37.954561,89.264109,2.13
Polis,273.44087,-21.058832,3.84
Pollux,116.328958,28.026199,1.16
Porrima,190.415181,-1.449373,3.44
Praecipua,163.327937,34.214872,3.79
Prima Hyadum,64.948349,15.627643,3.65
Procyon,114.825493,5.224993,0.4
Propus,93.719405,22.506794,3.32
Ran,53.232687,-9.458259,3.73
Rasalas,148.190903,26.006953,3.88
Rasalgethi,258.66191,14.390333,3.37
Rasalhague,263.733627,12.560035,2.08
Rastaban,262.608174,52.301389,2.79
Regulus,152.092962,11.967209,1.36
Rigel,78.634467,-8.201638,0.18
Rigil Kentaurus,219.902066,-60.833975,-0.01
Rotanev,309.387235,14.595115,3.64
Ruchbah,21.453964,60.235284,2.66
Rukbat,290.97157,-40.61594,3.96
Sabik,257.594529,-15.724907,2.43
Saclateni,75.619531,41.075839,3.69
Sadachbia,335.414064,-1.387334,3.86
Sadalbari,342.500809,24.601577,3.51
Sadalmelik,331.445983,-0.319849,2.95
Sadalsuud,322.889715,-5.571176,2.9
Sadr,305.557091,40.256679,2.23
Saiph,86.93912,-9.669605,2.07
Sargas,264.329711,-42.997824,1.86
Sarin,258.757963,24.839204,3.12
Sceptrum,69.545104,-14.304017,4.02
Scheat,345.943572,28.082785,2.44
Schedar,10.126838,56.537331,2.24
Secunda Hyadum,65.733719,17.542514,3.78
Segin,28.598857,63.670101,3.35
Seginus,218.019466,38.308251,3.04
Sham,295.024133,18.013891,4.39
Shaula,263.402167,-37.103824,2.08
Sheliak,282.519978,33.362668,3.6
Sheratan,28.660046,20.808031,2.7
Sirius,101.287155,-16.716116,-1.45
Skat,343.662556,-15.820827,3.27
Spica,201.298247,-11.161319,0.98
Sualocin,309.90953,15.912073,3.86
Subra,145.28764,9.892308,3.52
Suhail,136.998993,-43.432589,2.23
Sulafat,284.735928,32.689557,3.25
Syrma,214.003623,-6.000545,4.07
Tabit,72.460045,6.961275,3.19
Taiyangshou,176.512559,47.779406,3.69
Talitha,134.80189,48.041826,3.12
Tania Australis,155.58225,41.499519,3.06
Tania Borealis,154.274095,42.914356,3.45
Tarazed,296.564915,10.613262,2.72
Tarf,124.128838,9.185544,3.53
Taygeta,56.302063,24.46727,4.3
Tejat,95.740112,22.513583,2.87
Theemin,68.88766,-30.562341,3.81
Thuban,211.097291,64.375851,3.67
Tiaki,340.666876,-46.884576,2.12
Tianguan,84.411189,21.142544,2.97
Titawin,24.199342,41.405457,4.09
Torcular,26.348466,9.157737,4.29
Tureis,121.886037,-24.304324,2.83
Ukdah,144.964008,-1.14281,3.9
Unukalhai,236.066976,6.425629,2.63
Unurgunite,105.429782,-27.93483,3.49
Vega,279.234735,38.783689,0.03
Vindemiatrix,195.544157,10.959149,2.85
Wasat,110.030749,21.982316,3.52
Wazn,87.739968,-35.76831,3.12
Wezen,107.09785,-26.3932,1.83
Wurren,17.096173,-55.245758,4.02
Xamidimura,252.96763,-38.04738,3.0
Xuange,214.095912,46.088306,4.18
Yed Posterior,244.580374,-4.69251,3.23
Yed Prior,243.586411,-3.694323,2.73
Yildun,263.054126,86.586462,4.35
Zaurak,59.50736,-13.508516,2.97
Zavijava,177.673826,1.764717,3.59
Zhang,147.869558,-14.846603,4.11
Zosma,168.527089,20.523718,2.56
Zubenelgenubi,222.719638,-16.041777,2.75
Zubenelhakrabi,233.881578,-14.789536,3.91
Zubeneschamali,229.251724,-9.382914,2.61
