HIP,Name,RA_deg,Dec_deg,Magnitude
81826,,250.710165,31.647653,8.21
104518,,317.56897499999997,58.919459,8.69
81853,,250.773435,-36.634114,8.11
104523,,317.58708,-32.850167,7.25
81854,,250.7757,77.513973,5.99
104536,,317.62890000000004,22.457105,7.7
81883,,250.88736,-71.843119,9.1
104543,,317.653035,66.158181,7.14
81899,,250.93077,-17.514923,9.94
104544,,317.65333499999997,-34.812045,9.49
81900,,250.934865,-47.105707,7.06
104549,,317.669445,-23.311531,8.05
81910,,250.96431,-26.808945,6.72
104562,,317.71251,66.709493,7.34
81915,,250.980015,-48.511592,8.1
104569,,317.746215,26.217639,8.62
81924,,251.00433,42.508582,8.6
104578,,317.763135,-47.339721,9.47
81935,,251.06259,-38.943634,7.52
104590,,317.802195,-42.640274,9.61
81975,,251.186145,32.591928,8.47
104599,,317.84137499999997,41.185159,7.41
81991,,251.24993999999998,6.088161,6.55
104613,,317.874675,-45.07455,10.19
104637,,317.930175,23.584932,8.4
82041,,251.38288500000002,42.447199,8.15
104651,,317.98512,-0.058975,9.33
82045,,251.39604,8.050346,9.52
104663,,318.00491999999997,8.777339,8.69
104672,,318.031575,10.637987,8.08
82061,,251.43507,77.889626,8.47
104685,,318.07941,-70.161587,8.05
82070,,251.45485499999998,-1.264072,9.63
104703,,318.12984,32.030512,8.46
82079,,251.487285,-61.663514,6.83
82089,,251.52222,-16.900586,8.69
82090,,251.523885,52.745535,9.05
104762,,318.35442,20.29495,9.99
82117,,251.627715,47.449141,8.38
82130,,251.66884500000003,-59.042989,8.43
82131,,251.673135,-32.947599,8.02
104822,,318.54285,29.900959,6.18
82161,,251.76925500000002,-29.593647,8.01
82202,,251.90358,-62.149649,8.55
104884,,318.69234,16.479193,6.95
82261,,252.12028500000002,16.987626,9.22
82329,,252.336705,-0.078026,8.04
82338,,252.36369,-48.452377,9.06
82379,,252.50757,14.034235,7.73
104941,,318.863445,42.026382,6.6
82397,,252.54461999999998,-26.742546,7.5
104958,,318.89811,44.954528,7.46
82403,,252.587595,-56.670208,8.77
104957,,318.89859,78.598203,7.42
82408,,252.61033500000002,47.738542,9.49
82412,,252.624255,-3.627486,8.43
82436,,252.70887,-74.538493,10.17
82441,,252.73098,51.128442,7.96
82460,,252.78090000000003,9.404321,6.68
82463,,252.78357,18.077523,7.41
105076,,319.296465,32.166005,8.94
105112,,319.39056,82.517534,7.91
82475,,252.83983500000002,0.299828,8.08
105142,,319.48648499999996,57.33872,8.62
82503,,252.93748499999998,-73.722621,6.76
82514,,252.96763500000003,-38.04738,3.0
105166,,319.55050500000004,49.93176,8.27
105183,,319.612845,-3.680198,7.76
82541,,253.07774999999998,40.820086,9.76
105260,,319.82572500000003,-39.348143,7.49
82647,,253.40808000000004,-28.403673,9.65
105269,,319.84242,38.237473,5.89
82659,,253.45866,2.495501,9.3
82671,,253.49885999999998,-42.362025,4.7
82699,,253.57469999999998,-6.711819,7.97
82704,,253.57914,-19.366417,9.63
105310,,319.93791,27.806005,8.89
82717,,253.61264999999997,-30.719653,8.1
105329,,320.02467,-10.473044,8.89
105333,,320.0382,-13.502314,7.22
105338,,320.04882,-35.865859,9.76
82750,,253.69248000000002,62.099932,7.07
105357,,320.10594,60.687226,6.73
82767,,253.730715,-40.52483,7.2
105363,,320.11605,61.120232,8.65
105364,,320.12638499999997,9.289187,9.92
105365,,320.12764500000003,11.600133,9.26
105375,,320.15545499999996,8.211658,7.87
82824,,253.890285,-11.349273,8.74
82841,,253.94272499999997,67.478475,6.78
82887,,254.07948,69.008313,9.53
105399,,320.23240499999997,3.118255,7.75
82894,,254.1006,80.859575,6.64
82949,,254.26182,57.944469,8.98
82956,,254.28399000000002,-17.819476,8.17
105418,,320.28852,-27.730715,8.66
82958,,254.29240499999997,51.899039,7.51
82963,,254.30441999999996,22.770707,9.35
82975,,254.33993999999998,59.795814,8.93
83006,,254.426115,47.362144,7.93
105454,,320.39081999999996,27.005841,9.38
83029,,254.50592999999998,-14.831745,9.91
83045,,254.53962,-14.372468,7.16
83066,,254.59965000000003,-67.520648,8.0
83072,,254.62391999999997,-67.044966,8.45
105537,,320.618595,33.861054,8.55
83100,,254.71774500000004,-37.620508,6.05
105541,,320.628645,-44.14541,8.63
105561,,320.69514,38.634275,6.63
84241,,258.29656500000004,-55.39187,8.75
106493,,323.54835,64.004639,7.89
106512,,323.59738500000003,13.919856,8.18
106516,,323.6091,10.434684,8.11
84294,,258.49393499999996,4.920676,8.02
84318,,258.56904000000003,-31.20851,9.53
106529,,323.643405,55.089236,9.01
84338,,258.63234,-56.007582,7.93
106534,,323.657085,5.218319,10.78
106536,,323.65852500000005,49.526467,7.84
84354,,258.68766000000005,-59.261443,9.48
106539,,323.6637,-7.392225,7.94
84369,,258.72922500000004,-79.066713,12.57
106540,,323.66493,-28.888087,8.22
84370,,258.73218,-36.454146,8.86
84372,,258.73809,19.682595,7.22
84406,,258.84002999999996,-57.084357,8.86
106597,,323.83425,34.835836,8.33
84418,,258.87441,7.081705,9.55
84443,,258.95841,6.843462,7.98
106604,,323.857995,68.21929,6.47
84471,,259.03956000000005,-47.283149,9.01
84473,,259.03990500000003,-41.647695,9.1
84487,,259.084305,-12.178152,10.47
106649,,324.03906,-77.303762,12.16
84492,,259.10184,46.720813,8.93
106669,,324.07403999999997,-37.267321,9.44
84504,,259.13667,27.68323,8.84
106678,,324.108135,18.634832,8.62
106679,,324.11571000000004,-38.621146,8.91
106685,,324.13491,-43.847514,7.98
84539,,259.24218,-10.89893,8.83
84564,,259.303305,46.812603,8.2
84573,,259.331535,33.1001,4.8
106732,,324.30658500000004,86.441435,8.96
84574,,259.33542,25.395663,8.26
106742,,324.339705,35.327611,7.08
84583,,259.347675,-49.198989,9.66
106755,,324.371295,4.682456,6.54
84600,,259.40403,1.742502,6.86
106765,,324.40203,81.400704,10.13
84608,,259.42354500000005,-45.139426,10.05
106781,,324.429645,6.629052,7.66
106785,,324.4368,-45.824664,10.34
106795,,324.45942,-9.596835,8.11
